Opportunity Name,Organization,Type,Fields,Typical Amount,Deadline,Cycle,Rolling?,Description,CV Sources,Website
NSF – CIVIC Innovation Challenge,National Science Foundation,federal,"Architecture, Housing, Community, Equity","$75,000–$1,000,000",Check NSF.gov; typically spring,Annual,No,Supports civic-focused research partnerships with communities. Track A (planning) and Track B (implementation). Multi-institution.,"Abrons/Fure/Haar CV (2024, $75K); Wizinsky CV (pending $1M w/ Fure & Haar)",https://architecture.udmercy.edu/alumni
NSF – Regional Engines Type 1 Development Grant,National Science Foundation,federal,"Architecture, Urban, Technology, Sustainability","$115,000–$1,000,000",Check NSF.gov,Annual,No,Supports regional innovation ecosystems. U-M component typically $115K of larger multi-institution grant. 2-year duration.,"Thün CV (2024, Nexthouse, $115K U-M); Ng CV (submitted $2M NSF Engines w/ McGee)",https://nsf.gov
NSF – Doctoral Dissertation Research Improvement (STS),National Science Foundation,federal,"History, Technology, Architecture, Science Studies","$3,000–$15,000",Check NSF STS program,Annual,No,"Dissertation support for research in science, technology and society.","Knoblauch CV (2010, $3,000)",https://nsf.gov
NSF – Partnerships for Innovation (PFI) Technology Translation,National Science Foundation,federal,"Architecture, Materials, Technology, Circular Economy","$250,000",Check NSF PFI program,Annual,No,Supports translation of university research to commercial application. Multi-year.,"Miller/Moran CV (2023–2025, $250K, Post Rock)",https://nsf.gov/pfi
NSF – Hazards SEES / Convergence Research,National Science Foundation,federal,"Architecture, Resilience, Coastal Planning, Urban","$107,000–$2,400,000",Check NSF programs,Annual,No,Large-scale NSF convergence research grants for hazards and sustainability. U-M component varies.,"Gräbner/Larsen CV (Hazards SEES, $107K share of $2.4M)",https://www.nsf.gov
NSF – International Research Experiences for Students (IRES),National Science Foundation,federal,"Architecture, International, Education, Urban","$249,989",Check NSF IRES program,Annual,No,Funds international collaborative research experiences for graduate students.,"Gräbner CV ($249,989)",https://nsf.gov/ires
NSF – Global Center for Climate Change and Transboundary Waters,National Science Foundation,federal,"Architecture, Urban Planning, Climate, Great Lakes","$477,360 (Taubman portion)",Check NSF,Periodic (multi-year),No,NSF-funded global center grant for climate and water research. Taubman College component.,"Scott Campbell CV (2024–2029, $477K Taubman portion)",https://nsf.gov
NEH – Digital Projects for the Public,National Endowment for the Humanities,federal,"Humanities, Architecture, Digital Media, Indigenous","$30,000–$400,000",Check NEH.gov,Annual,No,Supports public-facing digital humanities projects. NOTE: Some recent awards terminated by presidential order April 2025 — verify current status.,"Adams/Gilpin CV (2024, $30K, Indigenous Narratives — terminated); Wizinsky CV",https://neh.gov
US EPA – Environmental Quality in High Performance Schools,US Environmental Protection Agency,federal,"Architecture, Sustainability, Health, Education","$145,000",Check EPA grants portal,Periodic,No,"Research on environmental quality, health and learning in high performance school buildings. Total project $1M.","Thün CV (2015, $145K component)",https://epa.gov/research-grants
US DOT – Eisenhower Transportation Graduate Fellowship,US Department of Transportation,federal,"Urban Planning, Transportation, Architecture","$5,000–$11,500",Annual; check DOT website,Annual,No,DOT fellowship for graduate research in transportation-related fields.,"Grengs CV (2005, 2006, 2011)",https://transportation.gov
US DOT – Federal Highway Administration Research Grant,Federal Highway Administration / US DOT,federal,"Urban Planning, Transportation, Accessibility","$119,000–$163,000",Check FHWA grants,Periodic,No,FHWA-funded research on transportation accessibility and equity.,"Grengs CV (2007–2010, $119K–$163K)",https://fhwa.dot.gov
Federal Transit Administration – Research Grant,US Department of Transportation / FTA,federal,"Urban Planning, Transportation, Equity","$97,000",Check FTA research programs,Periodic,No,FTA-funded research on metropolitan accessibility and transit equity.,"Grengs CV (2008–2009, $97K)",https://transit.dot.gov
US DOT – Nextrans Region 5 UTC,US Department of Transportation / Nextrans UTC,federal,"Architecture, Urban, Mobility, Accessibility","$78,000–$150,000",Check Nextrans/USDOT,Annual,No,"University Transportation Center grants for new mobility, accessible transportation, and urban design.","Thün CV (2013–2014, $78K–$150K); Grengs CV ($94K–$150K)",https://purdue.edu/nextrans
USDA / HUD – Community Development Grants,US Dept of Housing and Urban Development,federal,"Urban Planning, Community, Housing, Detroit","$90,000–$200,000",Check HUD grants portal,Annual,No,Community development work-study and partnership grants for university-community engagement.,"Dewar CV (HUD Community Development Work Study, $90K/biennial)",https://hud.gov/grants
FDA – Home as a Healthcare Hub,US Food and Drug Administration,federal,"Architecture, Health, Housing, Technology",Research grant (amount TBD),By invitation / check FDA,Periodic,No,FDA-funded research on residential design as healthcare delivery platform.,"Nanda CV (2024, PI)",https://fda.gov
Belmont Forum SUGI FWE Nexus Program (via NSF),Belmont Forum / NSF,federal,"Architecture, Urban, Sustainability, Food-Water-Energy","$250,000 (U-M component)",Check NSF/Belmont Forum,Periodic,No,"International program supporting food-water-energy nexus research. Multi-institution, 4-year awards.","Thün CV (2018, M_NEX, $250K U-M of $1.7M total)",https://belmontforum.org
Michigan Coastal Management Program (MCMP) Grants,Michigan Coastal Management Program / NOAA,federal,"Urban Planning, Coastal Resilience, Great Lakes","$50,000–$100,000",Annual; check MCMP/NOAA,Annual,No,NOAA-funded coastal planning and resilience research through Michigan state program. Multiple tracks.,"Scott Campbell CV (2018–2025, multiple grants $50K–$100K)",https://michigan.gov/egle/coastal
US Army Corps of Engineers – Research Grant,US Army Corps of Engineers,federal,"Urban Planning, Water, Coastal Resilience","$100,000",Check USACE/ERDC,Periodic,No,USACE-funded research on Great Lakes water systems and resilience.,"Scott Campbell CV (2024–2025, $100K)",https://usace.army.mil
Robert Wood Johnson Foundation – Health Equity Grant,Robert Wood Johnson Foundation,federal,"Architecture, Urban Planning, Health Equity, Housing","$250,000",Check RWJF; Letter of Intent first,Annual (competitive),No,Highly competitive health equity grants. Architecture + land use applications accepted. LOI shortlisted from 600+ proposals.,"Cuéllar CV (2025, LOI advanced to full submission, $250K requested)",https://rwjf.org
Agency for Healthcare Research and Quality (AHRQ) – Patient Safety,AHRQ / US DHHS,federal,"Architecture, Health, Patient Safety","$116,000+",Check AHRQ grants,Annual,No,Multi-disciplinary research grants on reducing diagnostic errors through built environment and design.,"Adams CV (2016, M-Safety Lab, $116K year 2)",https://ahrq.gov
NSF I-Corps – Innovation Corps Regional Program,National Science Foundation,federal,"Architecture, Technology, Entrepreneurship, AEC",No direct funding (training + pathway),Check NSF I-Corps,Rolling,Yes,NSF program helping researchers explore commercial potential of research. Completed program opens doors to follow-on NSF funding.,"Gilpin/Adams CV (2024, completed)",https://nsf.gov/i-corps
