Opportunity Name,Organization,Type,Fields,Typical Amount,Deadline,Cycle,Rolling?,Description,CV Sources,Website,Apply Link,Duplicate Entries Merged
NSF – CIVIC Innovation Challenge,National Science Foundation,federal,"Architecture, Housing, Community, Equity","$75,000–$1,000,000",Check NSF.gov; typically spring,Annual,No,Supports civic-focused research partnerships with communities. Track A (planning) and Track B (implementation). Multi-institution.,"Abrons/Fure/Haar CV (2024, $75K); Wizinsky CV (pending $1M w/ Fure & Haar)",https://architecture.udmercy.edu/alumni,https://new.nsf.gov/funding/opportunities/civic-innovation-challenge-civic,1
NSF – Regional Engines Type 1 Development Grant,National Science Foundation; National Science Foundation / EDA,federal,"Architecture, Urban, Technology, Sustainability; Architecture, Regional Innovation, Equity","$115,000–$1,000,000; $1,000,000",Check NSF.gov; Check NSF solicitation,Annual; Periodic,No,"Multi-institution regional innovation ecosystem development grants. Requires consortium across universities, industry, and community.","Thün CV (2024, Nexthouse, $115K U-M); Ng CV (submitted $2M NSF Engines w/ McGee); Thün CV (2024)",https://www.nsf.gov,https://new.nsf.gov/funding/opportunities/nsf-engines-development-awards,2
NSF – Doctoral Dissertation Research Improvement (STS),National Science Foundation,federal,"History, Technology, Architecture, Science Studies","$3,000–$15,000",Check NSF STS program,Annual,No,"Dissertation support for research in science, technology and society.","Knoblauch CV (2010, $3,000)",https://nsf.gov,https://new.nsf.gov/funding/opportunities/doctoral-dissertation-research-improvement-grants-science,1
NSF – Partnerships for Innovation (PFI) Technology Translation,National Science Foundation,federal,"Architecture, Materials, Technology, Circular Economy","$250,000",Check NSF PFI program,Annual,No,Supports translation of university research to commercial application. Multi-year.,"Miller/Moran CV (2023–2025, $250K, Post Rock)",https://nsf.gov/pfi,https://new.nsf.gov/funding/opportunities/partnerships-innovation-pfi,1
NSF – Hazards SEES / Convergence Research,National Science Foundation,federal,"Architecture, Resilience, Coastal Planning, Urban","$107,000–$2,400,000",Check NSF programs,Annual,No,Large-scale NSF convergence research grants for hazards and sustainability. U-M component varies.,"Gräbner/Larsen CV (Hazards SEES, $107K share of $2.4M)",https://www.nsf.gov,https://new.nsf.gov/funding/opportunities,1
NSF – International Research Experiences for Students (IRES),National Science Foundation,federal,"Architecture, International, Education, Urban","$249,989",Check NSF IRES program,Annual,No,Funds international collaborative research experiences for graduate students.,"Gräbner CV ($249,989)",https://nsf.gov/ires,https://new.nsf.gov/funding/opportunities/international-research-experiences-students-ires,1
NSF – Global Center for Climate Change and Transboundary Waters,National Science Foundation,federal,"Architecture, Urban Planning, Climate, Great Lakes","$477,360 (Taubman portion)",Check NSF,Periodic (multi-year),No,NSF-funded global center grant for climate and water research. Taubman College component.,"Scott Campbell CV (2024–2029, $477K Taubman portion)",https://nsf.gov,https://new.nsf.gov/funding/opportunities,1
NEH – Digital Projects for the Public,National Endowment for the Humanities,federal,"Humanities, Architecture, Digital Media, Indigenous","$30,000–$400,000",Check NEH.gov,Annual,No,Supports public-facing digital humanities projects. NOTE: Some recent awards terminated by presidential order April 2025 — verify current status.,"Adams/Gilpin CV (2024, $30K, Indigenous Narratives — terminated); Wizinsky CV",https://neh.gov,https://www.neh.gov/grants/public/digital-projects-public,1
US EPA – Environmental Quality in High Performance Schools,US Environmental Protection Agency,federal,"Architecture, Sustainability, Health, Education","$145,000",Check EPA grants portal,Periodic,No,"Research on environmental quality, health and learning in high performance school buildings. Total project $1M.","Thün CV (2015, $145K component)",https://epa.gov/research-grants,https://www.epa.gov/grants,1
US DOT – Eisenhower Transportation Graduate Fellowship,US Department of Transportation,federal,"Urban Planning, Transportation, Architecture","$5,000–$11,500",Annual; check DOT website,Annual,No,DOT fellowship for graduate research in transportation-related fields.,"Grengs CV (2005, 2006, 2011)",https://transportation.gov,https://www.fhwa.dot.gov/innovation/education/dwight_d_eisenhower_fellowships/,1
US DOT – Federal Highway Administration Research Grant,Federal Highway Administration / US DOT,federal,"Urban Planning, Transportation, Accessibility","$119,000–$163,000",Check FHWA grants,Periodic,No,FHWA-funded research on transportation accessibility and equity.,"Grengs CV (2007–2010, $119K–$163K)",https://fhwa.dot.gov,https://highways.dot.gov/research/research-programs,1
Federal Transit Administration – Research Grant,US Department of Transportation / FTA,federal,"Urban Planning, Transportation, Equity","$97,000",Check FTA research programs,Periodic,No,FTA-funded research on metropolitan accessibility and transit equity.,"Grengs CV (2008–2009, $97K)",https://transit.dot.gov,https://www.transportation.gov/grants,1
US DOT – Nextrans Region 5 UTC,US Department of Transportation / Nextrans UTC,federal,"Architecture, Urban, Mobility, Accessibility","$78,000–$150,000",Check Nextrans/USDOT,Annual,No,"University Transportation Center grants for new mobility, accessible transportation, and urban design.","Thün CV (2013–2014, $78K–$150K); Grengs CV ($94K–$150K)",https://purdue.edu/nextrans,https://www.transportation.gov/grants,1
